lr: 0.0001
epoch=2, accuracy=0.40345281043410935, loss=0.9062195469149479
epoch=57, accuracy=0.8055118714670211, loss=0.1813703952930857
epoch=58, accuracy=0.814834905817126, loss=0.1793047154143904
epoch=59, accuracy=0.8166928926671488, loss=0.18847369230380628
epoch=60, accuracy=0.8101477040904526, loss=0.19122452027727688
epoch=61, accuracy=0.8080474056622413, loss=0.1827313595718959
epoch=62, accuracy=0.8213106763661913, loss=0.18740396808225226
epoch=63, accuracy=0.8088071945103512, loss=0.19149803394846585
epoch=64, accuracy=0.8088801146816407, loss=0.18783011068179023
epoch=65, accuracy=0.814315517750128, loss=0.1887969795756378
epoch=66, accuracy=0.8145455261068502, loss=0.19011813587636162
epoch=67, accuracy=0.8142931182487632, loss=0.18247465328753312
epoch=68, accuracy=0.8187818650498127, loss=0.18032940251187207
epoch=69, accuracy=0.8121533085194712, loss=0.1816741341934674
epoch=70, accuracy=0.8210387007169173, loss=0.18909722866512274
epoch=71, accuracy=0.8111841010283791, loss=0.18262924283518414
epoch=72, accuracy=0.8139799431796428, loss=0.17991537242651182
epoch=73, accuracy=0.8162290766115199, loss=0.18895059685853524
epoch=74, accuracy=0.8190349410213058, loss=0.17916033615453614
epoch=75, accuracy=0.8176487834361266, loss=0.1804157449566307
epoch=76, accuracy=0.8219239102432345, loss=0.17997166685212032
epoch=77, accuracy=0.8188585506540709, loss=0.18003967393600545
epoch=78, accuracy=0.8206739415624413, loss=0.18654836193098912
epoch=79, accuracy=0.8167965826593915, loss=0.18507541613201361
epoch=80, accuracy=0.8175056231626914, loss=0.17716204464356256
epoch=81, accuracy=0.8121761504098071, loss=0.1777973898171611
epoch=82, accuracy=0.8165872967885481, loss=0.18370532376759288
epoch=83, accuracy=0.8197303528494142, loss=0.18451883953585524
epoch=84, accuracy=0.8139098091349348, loss=0.1880037032649428
epoch=85, accuracy=0.8176394493958321, loss=0.18374435220005098
epoch=86, accuracy=0.8220449957431291, loss=0.1883608044576985
epoch=87, accuracy=0.8126194037554395, loss=0.1873889007901748
epoch=88, accuracy=0.8182380525604067, loss=0.1786705774771763
epoch=89, accuracy=0.8220961576566039, loss=0.17840918178228188
epoch=90, accuracy=0.8182763782352427, loss=0.18729278949210648
epoch=91, accuracy=0.8137586699526578, loss=0.18368313992013788
epoch=92, accuracy=0.8123723123129871, loss=0.1778367921651089
epoch=93, accuracy=0.8157198150586813, loss=0.17890536104297222
epoch=94, accuracy=0.8135470451579947, loss=0.18696153941119628
epoch=95, accuracy=0.8128665844853928, loss=0.18294018831218706
epoch=96, accuracy=0.8176922025306386, loss=0.18626380202553997
epoch=97, accuracy=0.8212617687144426, loss=0.18719293706530712
epoch=98, accuracy=0.8150039333088763, loss=0.18060006486967767
epoch=99, accuracy=0.813914431731277, loss=0.1793622809524187
