Participant_ID,Task_ID,Task_Family,Interface_ID,Interface,Trial_number,Time,Interface_Familiarity,Task_Status
6,1,Translational,1,Spacemouse,2,23.77,2,Failure
6,1,Translational,2,Joystick,1,37.41,3,Successful
6,1,Translational,3,VR,2,58.44,3,Successful
6,3,Rotational,1,Spacemouse,2,27.97,2,Failure
6,3,Rotational,2,Joystick,1,35.87,3,Successful
6,3,Rotational,3,VR,1,172.3,3,Successful
6,5,Stationary,1,Spacemouse,2,47.95,2,Successful
6,5,Stationary,2,Joystick,1,51.29,3,Successful
6,5,Stationary,3,VR,2,77.51,3,Successful
6,7,Deforming,1,Spacemouse,2,46.55,2,Successful
6,7,Deforming,2,Joystick,1,34.95,3,Successful
6,7,Deforming,3,VR,2,102.82,3,Successful
7,1,Translational,1,Spacemouse,1,21.76,1,Successful
7,1,Translational,2,Joystick,1,19.8,5,Successful
7,1,Translational,3,VR,1,34.35,1,Successful
7,3,Rotational,1,Spacemouse,1,34.68,1,Successful
7,3,Rotational,2,Joystick,1,44.02,5,Successful
7,3,Rotational,3,VR,1,53.42,1,Successful
7,5,Stationary,1,Spacemouse,1,47.1,1,Successful
7,5,Stationary,2,Joystick,1,43.74,5,Successful
7,5,Stationary,3,VR,2,70.21,1,Successful
7,7,Deforming,1,Spacemouse,1,26.24,1,Successful
7,7,Deforming,2,Joystick,2,33.56,5,Successful
7,7,Deforming,3,VR,1,37.23,1,Successful
8,1,Translational,1,Spacemouse,1,38.76,1,Successful
8,1,Translational,2,Joystick,1,37.38,4,Successful
8,1,Translational,3,VR,1,61.53,3,Successful
8,3,Rotational,1,Spacemouse,1,45.73,1,Successful
8,3,Rotational,2,Joystick,2,38.87,4,Successful
8,3,Rotational,3,VR,1,64.19,3,Successful
8,5,Stationary,1,Spacemouse,1,49.57,1,Successful
8,5,Stationary,2,Joystick,2,40.84,4,Successful
8,5,Stationary,3,VR,2,43.17,3,Successful
8,7,Deforming,1,Spacemouse,1,30.84,1,Successful
8,7,Deforming,2,Joystick,1,33.11,4,Successful
8,7,Deforming,3,VR,1,62.69,3,Successful
9,1,Translational,1,Spacemouse,2,28.12,1,Successful
9,1,Translational,2,Joystick,1,16.84,5,Successful
9,1,Translational,3,VR,1,32.4,1,Successful
9,3,Rotational,1,Spacemouse,1,34.71,1,Successful
9,3,Rotational,2,Joystick,2,30.15,5,Successful
9,3,Rotational,3,VR,1,73.87,1,Successful
9,5,Stationary,1,Spacemouse,1,45.53,1,Successful
9,5,Stationary,2,Joystick,1,49.43,5,Successful
9,5,Stationary,3,VR,1,66.29,1,Successful
9,7,Deforming,1,Spacemouse,1,38.16,1,Successful
9,7,Deforming,2,Joystick,2,35.66,5,Successful
9,7,Deforming,3,VR,1,59.98,1,Successful
10,1,Translational,1,Spacemouse,1,32.55,2,Successful
10,1,Translational,2,Joystick,1,21.69,4,Successful
10,1,Translational,3,VR,1,35.22,3,Successful
10,3,Rotational,1,Spacemouse,2,27.71,2,Successful
10,3,Rotational,2,Joystick,2,28.44,4,Successful
10,3,Rotational,3,VR,1,49,3,Successful
10,5,Stationary,1,Spacemouse,1,38.16,2,Successful
10,5,Stationary,2,Joystick,1,57.4,4,Successful
10,5,Stationary,3,VR,1,69.56,3,Successful
10,7,Deforming,1,Spacemouse,1,29.13,2,Successful
10,7,Deforming,2,Joystick,1,33.14,4,Successful
10,7,Deforming,3,VR,1,61.81,3,Successful
11,1,Translational,1,Spacemouse,2,22.76,1,Successful
11,1,Translational,2,Joystick,1,43.21,4,Successful
11,1,Translational,3,VR,1,61.95,2,Successful
11,3,Rotational,1,Spacemouse,1,47.08,1,Successful
11,3,Rotational,2,Joystick,1,39.34,4,Successful
11,3,Rotational,3,VR,2,35.44,2,Successful
11,5,Stationary,1,Spacemouse,1,44.51,1,Successful
11,5,Stationary,2,Joystick,2,41.08,4,Successful
11,5,Stationary,3,VR,1,60.84,2,Successful
11,7,Deforming,1,Spacemouse,1,34.1,1,Successful
11,7,Deforming,2,Joystick,2,26.69,4,Successful
11,7,Deforming,3,VR,1,31.92,2,Successful
12,1,Translational,1,Spacemouse,1,30.28,1,Successful
12,1,Translational,2,Joystick,1,16.68,5,Successful
12,1,Translational,3,VR,2,35.06,3,Successful
12,3,Rotational,1,Spacemouse,1,36.48,1,Successful
12,3,Rotational,2,Joystick,1,40.37,5,Successful
12,3,Rotational,3,VR,1,77.63,3,Successful
12,5,Stationary,1,Spacemouse,1,63.72,1,Successful
12,5,Stationary,2,Joystick,2,30.63,5,Successful
12,5,Stationary,3,VR,2,86.07,3,Successful
12,7,Deforming,1,Spacemouse,2,29.01,1,Successful
12,7,Deforming,2,Joystick,2,29.87,5,Successful
12,7,Deforming,3,VR,1,58.96,3,Successful
13,1,Translational,1,Spacemouse,1,25.88,1,Successful
13,1,Translational,2,Joystick,1,34.6,5,Successful
13,1,Translational,3,VR,1,36.32,4,Successful
13,3,Rotational,1,Spacemouse,1,50.2,1,Successful
13,3,Rotational,2,Joystick,2,36.59,5,Successful
13,3,Rotational,3,VR,2,43.39,4,Successful
13,5,Stationary,1,Spacemouse,1,58.67,1,Successful
13,5,Stationary,2,Joystick,1,69.29,5,Successful
13,5,Stationary,3,VR,2,67.15,4,Successful
13,7,Deforming,1,Spacemouse,1,31.89,1,Successful
13,7,Deforming,2,Joystick,1,41.95,5,Successful
13,7,Deforming,3,VR,1,49.49,4,Successful
14,1,Translational,1,Spacemouse,1,21.19,1,Successful
14,1,Translational,2,Joystick,1,21.74,5,Successful
14,1,Translational,3,VR,1,46.04,3,Successful
14,3,Rotational,1,Spacemouse,1,37.74,1,Successful
14,3,Rotational,2,Joystick,1,51.58,5,Successful
14,3,Rotational,3,VR,1,93.25,3,Successful
14,5,Stationary,1,Spacemouse,1,35.52,1,Successful
14,5,Stationary,2,Joystick,1,44.68,5,Successful
14,5,Stationary,3,VR,1,79.85,3,Successful
14,7,Deforming,1,Spacemouse,1,25.08,1,Successful
14,7,Deforming,2,Joystick,1,52.75,5,Successful
14,7,Deforming,3,VR,1,53.65,3,Successful
15,1,Translational,1,Spacemouse,2,23.92,1,Successful
15,1,Translational,2,Joystick,1,23.29,4,Successful
15,1,Translational,3,VR,1,39.31,3,Successful
15,3,Rotational,1,Spacemouse,1,55.4,1,Successful
15,3,Rotational,2,Joystick,1,25.29,4,Successful
15,3,Rotational,3,VR,1,53.33,3,Successful
15,5,Stationary,1,Spacemouse,2,39.54,1,Failure
15,5,Stationary,2,Joystick,1,33.31,4,Successful
15,5,Stationary,3,VR,1,46.81,3,Successful
15,7,Deforming,1,Spacemouse,1,38.86,1,Successful
15,7,Deforming,2,Joystick,1,31.79,4,Successful
15,7,Deforming,3,VR,1,46.39,3,Successful
16,1,Translational,1,Spacemouse,1,27.25,1,Successful
16,1,Translational,2,Joystick,1,27.84,5,Successful
16,1,Translational,3,VR,1,28.5,1,Successful
16,3,Rotational,1,Spacemouse,1,43.89,1,Successful
16,3,Rotational,2,Joystick,1,59.87,5,Successful
16,3,Rotational,3,VR,1,58.36,1,Successful
16,5,Stationary,1,Spacemouse,1,60.68,1,Successful
16,5,Stationary,2,Joystick,1,36.83,5,Successful
16,5,Stationary,3,VR,1,59.43,1,Successful
16,7,Deforming,1,Spacemouse,1,32.53,1,Successful
16,7,Deforming,2,Joystick,1,29.41,5,Successful
16,7,Deforming,3,VR,1,57.92,1,Successful
17,1,Translational,1,Spacemouse,1,15.24,1,Successful
17,1,Translational,2,Joystick,1,16.68,3,Successful
17,1,Translational,3,VR,1,17.62,2,Successful
17,3,Rotational,1,Spacemouse,1,45.91,1,Successful
17,3,Rotational,2,Joystick,1,35.02,3,Successful
17,3,Rotational,3,VR,1,42.73,2,Successful
17,5,Stationary,1,Spacemouse,2,46.36,1,Successful
17,5,Stationary,2,Joystick,1,46.94,3,Successful
17,5,Stationary,3,VR,1,28.3,2,Successful
17,7,Deforming,1,Spacemouse,2,34.77,1,Successful
17,7,Deforming,2,Joystick,1,31.09,3,Successful
17,7,Deforming,3,VR,1,29.74,2,Successful
18,1,Translational,1,Spacemouse,1,22.45,1,Successful
18,1,Translational,2,Joystick,1,25.98,3,Successful
18,1,Translational,3,VR,1,45.99,1,Successful
18,3,Rotational,1,Spacemouse,2,64.43,1,Successful
18,3,Rotational,2,Joystick,1,31.83,3,Successful
18,3,Rotational,3,VR,1,76.4,1,Successful
18,5,Stationary,1,Spacemouse,1,49.63,1,Successful
18,5,Stationary,2,Joystick,1,55.56,3,Successful
18,5,Stationary,3,VR,1,87.25,1,Successful
18,7,Deforming,1,Spacemouse,1,50.59,1,Successful
18,7,Deforming,2,Joystick,1,36.94,3,Successful
18,7,Deforming,3,VR,1,54.51,1,Successful
19,1,Translational,1,Spacemouse,2,32.59,1,Successful
19,1,Translational,2,Joystick,1,29.21,3,Successful
19,1,Translational,3,VR,1,32.44,5,Successful
19,3,Rotational,1,Spacemouse,2,44.49,1,Successful
19,3,Rotational,2,Joystick,1,48.08,3,Successful
19,3,Rotational,3,VR,1,79.99,5,Successful
19,5,Stationary,1,Spacemouse,1,77.19,1,Successful
19,5,Stationary,2,Joystick,2,75.94,3,Successful
19,5,Stationary,3,VR,1,55.49,5,Successful
19,7,Deforming,1,Spacemouse,1,40.22,1,Successful
19,7,Deforming,2,Joystick,1,65.72,3,Successful
19,7,Deforming,3,VR,1,80.13,5,Successful
20,1,Translational,1,Spacemouse,2,27.5,1,Successful
20,1,Translational,2,Joystick,2,22.85,4,Successful
20,1,Translational,3,VR,1,41.81,4,Successful
20,3,Rotational,1,Spacemouse,2,48.14,1,Successful
20,3,Rotational,2,Joystick,2,52.36,4,Successful
20,3,Rotational,3,VR,2,51.17,4,Successful
20,5,Stationary,1,Spacemouse,2,81.04,1,Successful
20,5,Stationary,2,Joystick,1,61.39,4,Successful
20,5,Stationary,3,VR,1,90.06,4,Successful
20,7,Deforming,1,Spacemouse,1,62.97,1,Successful
20,7,Deforming,2,Joystick,1,37.7,4,Successful
20,7,Deforming,3,VR,2,81.08,4,Successful
21,1,Translational,1,Spacemouse,1,17.86,1,Successful
21,1,Translational,2,Joystick,2,19.34,5,Successful
21,1,Translational,3,VR,1,22.39,3,Successful
21,3,Rotational,1,Spacemouse,1,49.69,1,Successful
21,3,Rotational,2,Joystick,1,49.42,5,Successful
21,3,Rotational,3,VR,1,36.71,3,Successful
21,5,Stationary,1,Spacemouse,1,54.85,1,Successful
21,5,Stationary,2,Joystick,1,38.84,5,Successful
21,5,Stationary,3,VR,1,51.09,3,Successful
21,7,Deforming,1,Spacemouse,1,40.46,1,Successful
21,7,Deforming,2,Joystick,1,31.37,5,Successful
21,7,Deforming,3,VR,1,40.92,3,Successful
